TV电影台,#genre#
CCTV6电影,https://cdn16.123.rr.kg/163189/cctv6
CCTV6电影,http://107.150.60.122/live/cctv6hd.m3u8
中国电影频道(北美)(挂梯),https://dfe3-6a12-2f81-6b56.kylintv.tv/live/chinamovie_iphone.m3u8
NOW爆谷台,http://173.208.234.146/live/nowbg.m3u8
NOW星影台,http://173.208.234.146/live/nowxy.m3u8
美亚电影HD,http://173.208.234.146/live/mymovie.m3u8
天映频道,http://173.208.234.146/live/typd.m3u8
龙华电影(挂梯),https://cdn8.123.rr.kg/163189/lhdy
澳门莲花,http://rihou.cc:555/tv/澳门莲花

TV直播台,#genre#
CCTV5体育1080p,http://173.208.212.130:8181/1080p/cctv5.m3u8
CCTV5体育1080p,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5
CCTV5+体育赛事1080p,http://107.150.60.122/live/cctv5p.m3u8
CCTV16奥林匹克1080p,http://207.56.13.146:81/cdnlive/cctv16.m3u8
CCTV16奥林匹克1080p,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv16
纬来体育(挂梯),rtmp://f13h.mine.nu/sat/tv721
广东珠江1080p,http://www.yahao.host:4022/udp/239.77.0.1:5146
中天新闻,http://173.208.234.146/live/ctinews.m3u8

港台,#genre#
翡翠台,http://183.62.8.58:50085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台(挂梯),https://cdn.qd.je/163189.php?id=fct
翡翠台4K(挂梯),https://cdn3.indevs.in/stream/tvb/fct4k/

18+直播台,#genre#
资源永久免费如有收费的都是骗子,http://ef90a6cd.rossteleccom.net/iptv/2TBC4G2WWDG6RSUSN5SXSQEC/14158/index.m3u8
俄罗斯极限电影台(免翻),http://ef90a6cd.rossteleccom.net/iptv/2TBC4G2WWDG6RSUSN5SXSQEC/14158/index.m3u8
惊艳台(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
惊艳台(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
潘多啦完美(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
香蕉台(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/117.ts
香蕉台(免翻),http://125.227.210.55:1009/VideoInput/play.ts
香蕉台(免翻),http://atryffad.usa3.345123.xyz/jrw.php?id=Bananachannel
香蕉台,https://stream1.freetv.fun/58de13dd44637831a30fd05decc775f0648b376c707586e3dcbe7da08a87ea53.ctv
香蕉台,https://t.freetv.fun/live/xiang-jiao-2.ts
松视1(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松视2(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松视3(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
Happy(免翻),http://atryffad.usa3.345123.xyz/jrw.php?id=HappyHD
奧視,http://125.227.210.55:1022/VideoInput/play.ts
奧視2,http://125.227.210.55:3031/VideoInput/play.ts
花花公子,http://LMTV.me:80/1662465746dio/612628/90206
HustlerHD,http://88b9da48.kazmazpaz.ru:80/iptv/MVTMCC4UTAZVDT/244/manifest.m3u8
PlayboyHD,http://79.127.207.193:80/PlayboyHD/playlist.m3u8 
BangU,http://79.127.207.193:80/BangU/playlist.m3u8 
RealityKings,http://79.127.207.193:80/RealityKings/playlist.m3u8 
BabesTV,http://79.127.207.193:80/BabesTV/playlist.m3u8 
dorcel,http://79.127.207.193:80/DorcelHD/playlist.m3u8 
hustler,http://79.127.207.193:80/Hustler/playlist.m3u8 
FrenchLover,http://79.127.207.193:80/FrenchLover/playlist.m3u8 
Leo HD,http://88.212.7.11/live/test_leo_hd_hevc/playlist.m3u8
EroxHD,http://88.212.7.11/live/test_erox_hd_hevc/playlist.m3u8
Eroxxx,http://88.212.7.11/live/test_eroxxx_hd_hevc/playlist.m3u8
Extasy,http://88.212.7.11/live/test_extasy_hd_hevc/playlist.m3u8
Desire,http://88.212.7.11/live/test_desire_hd_hevc/playlist.m3u8
Dorcel,http://88.212.7.11/live/test_dorcel_hd_hevc/playlist.m3u8
Brazzers HD,http://88.212.7.11/live/test_brazzers_hd_hevc/playlist.m3u8
Hustsler HD,http://88.212.7.11/live/test_hustsler_hd_hevc/playlist.m3u8
realitykings,http://88.212.7.11/live/test_realitykings_sd_hevc/playlist.m3u8
Barely Legal,http://94.228.166.20:8000/play/a02r/index.m3u8 
Exxo,http://94.228.166.20:8000/play/a077/index.m3u8 
Dorcel Tv,http://212.70.131.37:8000/play/a080

港台三级(142部),#genre#
1色降2之血玫瑰,https://vip1.lz-cdn1.com/20220331/733_58b741b7/index.m3u8
2色降2之萬里驅魔,https://m3u8.cdn202511.com/videos/202411/21/673e5ba03276de039d31a162/7cd5f8/index.m3u8
3倩女幽魂,https://jkunnzyx.com/20250423/nU0wWqCw/2000kb/hls/index.m3u8
4艳降勾魂,https://jkunnzyx.com/20250422/QZeJpxSo/2000kb/hls/index.m3u8
5唐朝禁宫秘史,https://jkunnzyx.com/20250422/IzZnh5aN/2000kb/hls/index.m3u8
6唐朝豪放女,https://jkunnzyx.com/20250422/ACOOZ77D/2000kb/hls/index.m3u8?t=1759862410098
7禁春,https://jkunnzyx.com/20250420/C6pNQeJa/2000kb/hls/index.m3u8
8聊斋画皮,https://vip1.lz-cdn1.com/20220602/7244_b84ad9e5/1200k/hls/mixed.m3u8
9惊变,https://jkunnzyx.com/20250216/DcmNwFCD/2000kb/hls/index.m3u8
10玉蒲团之偷情宝鉴,https://sex8sex811.com/20250726/gyeUh9IH/3000kb/hls/index.m3u8
11鸭王,https://vip1.lz-cdn.com/20220917/33110_558f97e4/1200k/hls/mixed.m3u8
12鸭王2：鸡同鸭恋,https://sex8sex811.com/20250720/ZVJOiFu6/3000kb/hls/index.m3u8
13玉蒲团之玉女心经,https://vip.lzcdn2.com/20220525/7634_7f4228f1/1200k/hls/mixed.m3u8
14聊斋艳谭之玉女聊斋,https://d6ii9agw2wrlt.cloudfront.net/video/2024-12-12/10/1867035188432818176/790a397180e94e118b85f278941e42e7.m3u8?t=69804c9d&us=2018211537592377352&sign=808603d3bb0c4ee38c9652b745f55a5629fb07d1
15聊斋艳谭之月宫宝盒,https://vip1.lz-cdn1.com/20220602/7246_8dec3f14/1200k/hls/mixed.m3u8
16聊斋婴宁,https://vip1.lz-cdn1.com/20220602/7243_6ac4f584/1200k/hls/mixed.m3u8
17聊斋荷花三娘子,https://vip1.lz-cdn1.com/20220602/7247_71485294/1200k/hls/mixed.m3u8
18金瓶梅,https://vip1.lz-cdn1.com/20220516/5775_36eacadc/1200k/hls/mixed.m3u8
19金瓶梅2,https://vip1.lz-cdn1.com/20220516/5774_3b77c66d/1200k/hls/mixed.m3u8
20.3D肉蒲团之极乐宝鉴,https://vip1.lz-cdn.com/20220917/33091_abc5295d/1200k/hls/mixed.m3u8
21血恋,https://play.subokk.com/play/BeXoMrvd/index.m3u8
22血恋2,https://1.mysqldata3202s4l.com/20220906/vTtXOZiJ/index.m3u8
